Degré de réalisation - Total Degré d'élucidation - Total;Degré de réalisation - Total Non élucidées;Degré de réalisation - Total Elucidées;CantonId;Id
108220;74285;33935;1;1
61634;44542;17092;2;2
21524;14547;6977;3;3
1031;799;232;4;4
4526;2951;1575;5;5
1317;833;484;6;6
1208;784;424;7;7
1451;817;634;8;8
6526;4391;2135;9;9
15337;10926;4411;10;10
16472;11497;4975;11;11
19812;12822;6990;12;12
13139;10236;2903;13;13
3932;2072;1860;14;14
2145;832;1313;15;15
539;317;222;16;16
23286;15168;8118;17;17
8427;5740;2687;18;18
31726;20154;11572;19;19
10073;7251;2822;20;20
19551;12871;6680;21;21
59396;49616;9780;22;22
15155;10239;4916;23;23
13487;7719;5768;24;24
61910;47988;13922;25;25
3336;2149;1187;26;26
107026;76986;30040;27;27
64774;47842;16932;28;28
24219;16960;7259;29;29
918;759;159;30;30
4805;3025;1780;31;31
1495;927;568;32;32
1161;720;441;33;33
1318;802;516;34;34
6760;4927;1833;35;35
14209;10417;3792;36;36
16751;11879;4872;37;37
22048;14479;7569;38;38
12872;10275;2597;39;39
3383;1895;1488;40;40
2113;715;1398;41;41
365;245;120;42;42
23389;15653;7736;43;43
8224;5821;2403;44;44
32976;22120;10856;45;45
10509;7533;2976;46;46
20671;14448;6223;47;47
70392;56162;14230;48;48
15332;11161;4171;49;49
14659;9253;5406;50;50
72821;60346;12475;51;51
3693;2580;1113;52;52
118387;85654;32733;53;53
69004;51029;17975;54;54
24519;17748;6771;55;55
1164;959;205;56;56
4983;2917;2066;57;57
1752;933;819;58;58
1322;935;387;59;59
1322;797;525;60;60
6408;4539;1869;61;61
19024;11944;7080;62;62
19834;13531;6303;63;63
27052;18977;8075;64;64
13938;11335;2603;65;65
3580;1855;1725;66;66
2823;1146;1677;67;67
370;224;146;68;68
24632;16278;8354;69;69
8890;6080;2810;70;70
34999;22564;12435;71;71
11642;8116;3526;72;72
22092;15759;6333;73;73
83380;67192;16188;74;74
18368;12883;5485;75;75
16624;10103;6521;76;76
66423;54004;12419;77;77
4368;2881;1487;78;78
107770;76529;31241;79;79
67222;50531;16691;80;80
24764;17310;7454;81;81
1202;934;268;82;82
5474;3462;2012;83;83
1373;754;619;84;84
1257;752;505;85;85
1375;862;513;86;86
6238;4408;1830;87;87
18777;12217;6560;88;88
18014;12938;5076;89;89
24040;16873;7167;90;90
15504;12264;3240;91;91
3325;1855;1470;92;92
2089;794;1295;93;93
370;194;176;94;94
21866;14437;7429;95;95
8183;5610;2573;96;96
34290;20198;14092;97;97
11822;7403;4419;98;98
22335;15361;6974;99;99
78536;62163;16373;100;100
17100;11555;5545;101;101
16006;10127;5879;102;102
59170;46363;12807;103;103
4532;2865;1667;104;104
99031;69058;29973;105;105
58826;43173;15653;106;106
22509;15631;6878;107;107
1031;798;233;108;108
4653;2947;1706;109;109
1539;897;642;110;110
1443;927;516;111;111
1514;902;612;112;112
6388;4579;1809;113;113
16446;10004;6442;114;114
16321;11325;4996;115;115
21485;13990;7495;116;116
15496;12307;3189;117;117
3865;2242;1623;118;118
2076;821;1255;119;119
388;233;155;120;120
20242;13096;7146;121;121
8196;5360;2836;122;122
32168;18164;14004;123;123
11551;6827;4724;124;124
19001;12813;6188;125;125
71967;55221;16746;126;126
13843;8796;5047;127;127
14462;8577;5885;128;128
55244;42181;13063;129;129
3604;2216;1388;130;130
92468;63324;29144;131;131
55935;39620;16315;132;132
20523;13954;6569;133;133
640;486;154;134;134
4122;2487;1635;135;135
1408;746;662;136;136
1073;542;531;137;137
1219;686;533;138;138
5376;3791;1585;139;139
15589;8943;6646;140;140
16018;9877;6141;141;141
20961;13651;7310;142;142
12792;9866;2926;143;143
3634;1895;1739;144;144
1960;743;1217;145;145
309;184;125;146;146
18574;11742;6832;147;147
7086;4491;2595;148;148
26876;15100;11776;149;149
10913;6583;4330;150;150
16805;10755;6050;151;151
58343;43619;14724;152;152
13702;8756;4946;153;153
15596;9609;5987;154;154
58800;44834;13966;155;155
3608;2211;1397;156;156
87754;57432;30322;157;157
54843;38034;16809;158;158
18771;12101;6670;159;159
672;450;222;160;160
4203;2520;1683;161;161
1589;742;847;162;162
1127;683;444;163;163
1336;747;589;164;164
5404;3695;1709;165;165
13943;8395;5548;166;166
14133;8527;5606;167;167
21118;13313;7805;168;168
11926;8681;3245;169;169
3680;1709;1971;170;170
1725;612;1113;171;171
522;212;310;172;172
17935;10446;7489;173;173
6870;4046;2824;174;174
32783;14051;18732;175;175
10322;5895;4427;176;176
16856;9913;6943;177;177
54548;39874;14674;178;178
13686;8784;4902;179;179
13374;8065;5309;180;180
51938;38592;13346;181;181
3370;1971;1399;182;182